id,zone_id,name,geometry,operator,lon,lat
23,839,Albertson's,POINT (-105.107425 39.5634141),,-105.107425,39.5634141
24,804,King Soopers,POINT (-105.130823 39.582154),,-105.130823,39.582154
25,808,Safeway,POINT (-105.134704 39.579081),,-105.134704,39.579081
26,595,King Soopers,POINT (-105.1398719 39.7641939),,-105.1398719,39.7641939
27,2165,Safeway,POINT (-104.991806 39.574695),,-104.991806,39.574695
28,551,King Soopers,POINT (-105.1365242 39.8113202),,-105.1365242,39.8113202
29,812,King Soopers,POINT (-105.1075531 39.6232009),,-105.1075531,39.6232009
30,788,Safeway,POINT (-105.1114858 39.6257294),,-105.1114858,39.6257294
31,716,Safeway,POINT (-105.1225536 39.6812895),,-105.1225536,39.6812895
32,621,King Soopers,POINT (-105.1252846 39.7420445),,-105.1252846,39.7420445
33,2202,King Soopers,POINT (-104.9614056 39.5785153),,-104.9614056,39.5785153
